dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,83.0,1078.4,0.363052
contriever-768,10,89.45,1245.94,0.59049
contriever-768,20,93.96,1625.81,0.950559
contriever-768,30,95.58,1967.5,1.28265
contriever-768,40,96.3,2294.27,1.58916
contriever-768,50,96.84,2534.71,1.87885
contriever-768,60,97.26,2855.07,2.14807
contriever-768,70,97.5,3123.99,2.44476
contriever-768,80,97.75,3436.93,2.74091
contriever-768,90,97.95,3755.61,3.02346
contriever-768,100,98.08,4073.35,3.32907
contriever-768,110,98.23,4323.6,3.58943
contriever-768,120,98.34,4681.19,3.90143
contriever-768,130,98.45,4981.87,4.19825
contriever-768,140,98.51,5335.66,4.49191
contriever-768,150,98.57,5662.36,4.82413
contriever-768,160,98.65,5906.31,5.07451
contriever-768,170,98.7,6220.88,5.3908
contriever-768,5,83.0,1109.99,0.361445
contriever-768,10,89.45,1264.25,0.588176
contriever-768,20,93.96,1570.28,0.947635
contriever-768,30,95.58,1939.15,1.28256
contriever-768,40,96.3,2229.82,1.58734
contriever-768,50,96.84,2493.85,1.87268
contriever-768,60,97.26,2876.01,2.15035
contriever-768,70,97.5,3090.79,2.44883
contriever-768,80,97.75,3476.92,2.73701
contriever-768,90,97.95,3718.99,3.01852
contriever-768,100,98.08,4069.98,3.31745
contriever-768,110,98.23,4425.98,3.60077
contriever-768,120,98.34,4710.08,3.90618
contriever-768,130,98.45,5032.52,4.17772
contriever-768,140,98.51,5282.96,4.47421
contriever-768,150,98.57,5519.12,4.74558
contriever-768,160,98.65,5810.99,5.01144
contriever-768,170,98.7,6123.06,5.33274
contriever-768,180,98.78,6402.69,5.59903
contriever-768,190,98.81,6687.44,5.92314
contriever-768,200,98.87,7035.23,6.17984
contriever-768,240,99.08,8270.65,7.39766
contriever-768,280,99.15,9495.57,8.59976
contriever-768,320,99.26,10724.0,9.80171
contriever-768,360,99.31,11976.1,10.9409
contriever-768,400,99.38,13163.0,12.133
contriever-768,500,99.51,16021.0,14.963
deep-image-96-angular,5,73.1,748.989,0.588474
deep-image-96-angular,10,84.54,915.335,0.969353
deep-image-96-angular,20,92.28,1491.73,1.76331
deep-image-96-angular,30,95.16,2106.57,2.41708
deep-image-96-angular,40,96.5,2626.29,2.95022
deep-image-96-angular,50,97.36,3101.69,3.43274
deep-image-96-angular,60,97.88,3572.57,3.89255
deep-image-96-angular,70,98.23,4034.76,4.35812
deep-image-96-angular,80,98.54,4480.68,4.80089
deep-image-96-angular,90,98.71,5043.0,5.25174
deep-image-96-angular,100,98.86,5455.89,5.62939
deep-image-96-angular,110,98.97,5823.9,6.09693
deep-image-96-angular,120,99.06,6353.3,6.55102
deep-image-96-angular,130,99.16,6830.84,6.93314
deep-image-96-angular,140,99.2,7270.55,7.38516
deep-image-96-angular,150,99.23,7725.74,7.84928
deep-image-96-angular,160,99.28,8122.51,8.18794
deep-image-96-angular,170,99.29,8569.03,8.70105
deep-image-96-angular,180,99.32,8983.03,9.03824
deep-image-96-angular,190,99.36,9487.48,9.53931
deep-image-96-angular,200,99.4,9828.07,9.88583
deep-image-96-angular,240,99.47,11633.9,11.7006
deep-image-96-angular,280,99.55,13311.5,13.3767
gist-960-euclidean,5,43.53,1414.23,0.361401
gist-960-euclidean,10,57.6,1596.83,0.629761
gist-960-euclidean,20,71.22,1934.11,0.941394
gist-960-euclidean,30,78.66,2229.43,1.22177
gist-960-euclidean,40,83.68,2588.4,1.51461
gist-960-euclidean,50,87.02,2904.28,1.83596
gist-960-euclidean,60,89.24,3181.11,2.1464
gist-960-euclidean,70,91.28,3480.45,2.43512
gist-960-euclidean,80,92.68,3829.51,2.71168
gist-960-euclidean,90,93.95,4162.45,3.02295
gist-960-euclidean,100,94.67,4452.75,3.31776
gist-960-euclidean,110,95.42,4696.73,3.57336
gist-960-euclidean,120,95.9,5045.97,3.88087
gist-960-euclidean,130,96.46,5340.65,4.14476
gist-960-euclidean,140,96.88,5646.54,4.45677
gist-960-euclidean,150,97.21,5959.92,4.74937
gist-960-euclidean,160,97.49,6317.91,5.01865
gist-960-euclidean,170,97.75,6559.04,5.30725
gist-960-euclidean,180,98.05,6841.81,5.56427
gist-960-euclidean,190,98.19,7137.36,5.83639
gist-960-euclidean,200,98.25,7385.19,6.13292
gist-960-euclidean,240,98.83,8557.9,7.2241
gist-960-euclidean,280,99.25,9659.72,8.34107
gist-960-euclidean,320,99.42,10748.6,9.38921
gist-960-euclidean,360,99.53,11879.3,10.4787
gist-960-euclidean,5,43.53,1309.52,0.307679
gist-960-euclidean,10,57.6,1526.99,0.531281
gist-960-euclidean,20,71.22,1811.56,0.834895
gist-960-euclidean,30,78.66,2180.62,1.19516
gist-960-euclidean,40,83.68,2516.41,1.51943
gist-960-euclidean,50,87.02,2898.65,1.84416
gist-960-euclidean,60,89.24,3116.94,2.13799
gist-960-euclidean,70,91.28,3441.35,2.40793
gist-960-euclidean,80,92.68,3731.77,2.72352
gist-960-euclidean,90,93.95,4082.61,3.0125
gist-960-euclidean,100,94.67,4369.94,3.30225
gist-960-euclidean,110,95.42,4703.27,3.56663
gist-960-euclidean,120,95.9,4992.69,3.89238
gist-960-euclidean,130,96.46,5332.28,4.12904
gist-960-euclidean,140,96.88,5663.36,4.45848
gist-960-euclidean,150,97.21,5869.76,4.69298
gist-960-euclidean,160,97.49,6103.77,4.9906
gist-960-euclidean,170,97.75,6386.83,5.24891
gist-960-euclidean,180,98.05,6670.43,5.54961
gist-960-euclidean,190,98.19,6926.19,5.79994
gist-960-euclidean,200,98.25,7292.9,6.09798
gist-960-euclidean,240,98.83,8383.75,7.17855
gist-960-euclidean,280,99.25,9533.38,8.29216
gist-960-euclidean,320,99.42,10571.3,9.33027
gist-960-euclidean,360,99.53,11706.7,10.4133
glove-200-angular,5,35.62,542.006,0.374497
glove-200-angular,10,44.29,790.78,0.667735
glove-200-angular,20,55.37,1377.0,1.23313
glove-200-angular,30,63.93,1919.88,1.83818
glove-200-angular,40,70.85,2485.41,2.3747
glove-200-angular,50,75.45,3056.21,2.91682
glove-200-angular,60,79.74,3620.67,3.46545
glove-200-angular,70,83.5,4127.92,3.99278
glove-200-angular,80,85.95,4676.63,4.52008
glove-200-angular,90,88.4,5209.22,5.03495
glove-200-angular,100,89.96,5724.53,5.56104
glove-200-angular,110,91.32,6268.42,6.06859
glove-200-angular,120,92.54,6793.1,6.5774
glove-200-angular,130,93.76,7284.88,7.06987
glove-200-angular,140,94.92,7803.33,7.5716
glove-200-angular,150,95.55,8305.1,8.06412
glove-200-angular,160,96.21,8797.71,8.54228
glove-200-angular,170,96.8,9259.38,9.01743
glove-200-angular,180,97.32,9748.54,9.49152
glove-200-angular,190,97.63,10223.3,9.94439
glove-200-angular,200,97.98,10686.4,10.4053
glove-200-angular,240,98.96,12478.7,12.1675
glove-200-angular,280,99.4,14126.9,13.8329
glove-200-angular,320,99.64,15693.8,15.3707
instructorxl-arxiv-768,5,75.54,1084.39,0.313821
instructorxl-arxiv-768,10,84.87,1321.46,0.605811
instructorxl-arxiv-768,20,91.18,1674.84,0.949641
instructorxl-arxiv-768,30,93.84,2043.33,1.33424
instructorxl-arxiv-768,40,95.35,2472.95,1.69686
instructorxl-arxiv-768,50,96.29,2773.38,2.11525
instructorxl-arxiv-768,60,96.97,3149.77,2.38769
instructorxl-arxiv-768,70,97.44,3507.65,2.79275
instructorxl-arxiv-768,80,97.86,3831.64,3.08634
instructorxl-arxiv-768,90,98.18,4230.37,3.48481
instructorxl-arxiv-768,100,98.46,4575.39,3.82798
instructorxl-arxiv-768,110,98.68,4885.72,4.12871
instructorxl-arxiv-768,120,98.89,5291.44,4.5211
instructorxl-arxiv-768,130,99.02,5626.26,4.79787
instructorxl-arxiv-768,140,99.12,6042.79,5.20875
instructorxl-arxiv-768,150,99.22,6378.65,5.48904
instructorxl-arxiv-768,160,99.27,6739.07,5.88594
instructorxl-arxiv-768,170,99.35,7075.38,6.16743
instructorxl-arxiv-768,180,99.4,7416.17,6.54638
instructorxl-arxiv-768,190,99.42,7800.01,6.85462
instructorxl-arxiv-768,200,99.47,8104.54,7.18305
instructorxl-arxiv-768,240,99.62,9541.52,8.58023
msong-420,5,74.35,662.596,0.251673
msong-420,10,87.85,795.199,0.394057
msong-420,20,95.45,1036.99,0.643162
msong-420,30,97.39,1228.71,0.89027
msong-420,40,98.26,1461.75,1.11112
msong-420,50,98.7,1657.56,1.32017
msong-420,60,99.03,1892.01,1.51763
msong-420,70,99.25,2040.88,1.67988
msong-420,80,99.36,2267.54,1.89106
msong-420,90,99.44,2436.48,2.08811
msong-420,100,99.47,2664.15,2.28458
msong-420,110,99.5,2868.18,2.45312
msong-420,5,74.35,660.98,0.273442
msong-420,10,87.85,786.266,0.385235
msong-420,20,95.45,1043.8,0.658323
msong-420,30,97.39,1259.11,0.928489
msong-420,40,98.26,1465.02,1.11768
msong-420,50,98.7,1693.5,1.31185
msong-420,60,99.03,1891.34,1.50984
msong-420,70,99.25,2041.19,1.67938
msong-420,80,99.36,2273.8,1.88651
msong-420,90,99.44,2460.19,2.08333
msong-420,100,99.47,2645.42,2.25734
msong-420,110,99.5,2858.38,2.45537
openai-1536-angular,5,71.89,2643.28,0.396852
openai-1536-angular,10,78.37,2850.66,0.538164
openai-1536-angular,20,83.87,3142.86,0.849266
openai-1536-angular,30,86.78,3434.3,1.13847
openai-1536-angular,40,88.57,3748.4,1.45134
openai-1536-angular,50,89.85,4097.73,1.77714
openai-1536-angular,60,90.92,4421.4,2.04456
openai-1536-angular,70,91.89,4780.79,2.38602
openai-1536-angular,80,92.56,5027.72,2.69737
openai-1536-angular,90,93.25,5386.45,2.95455
openai-1536-angular,100,93.65,5733.82,3.29815
openai-1536-angular,110,94.13,6037.25,3.55927
openai-1536-angular,120,94.57,6364.01,3.90053
openai-1536-angular,130,94.85,6653.55,4.15495
openai-1536-angular,140,95.1,6975.76,4.49808
openai-1536-angular,150,95.42,7282.19,4.76266
openai-1536-angular,160,95.63,7632.07,5.10546
openai-1536-angular,170,95.85,7881.38,5.35495
openai-1536-angular,180,96.02,8229.01,5.70503
openai-1536-angular,190,96.2,8545.48,5.96062
openai-1536-angular,200,96.33,8815.65,6.26987
openai-1536-angular,240,96.82,10103.3,7.51905
openai-1536-angular,280,97.26,11321.4,8.69116
openai-1536-angular,320,97.57,12577.3,9.94875
openai-1536-angular,360,97.9,13805.8,11.1019
openai-1536-angular,400,98.1,15049.4,12.3521
openai-1536-angular,500,98.43,18039.4,15.298
openai-1536-angular,600,98.78,21072.5,18.3297
openai-1536-angular,700,98.93,24091.4,21.2687
openai-1536-angular,800,99.09,27085.6,24.2774
openai-1536-angular,900,99.23,30053.1,27.1947
openai-1536-angular,1000,99.3,33078.7,30.1812
sift-128-euclidean,5,62.18,171.825,0.047714
sift-128-euclidean,10,76.5,208.437,0.0788608
sift-128-euclidean,20,87.34,269.449,0.137069
sift-128-euclidean,30,91.92,319.122,0.191344
sift-128-euclidean,40,94.58,386.277,0.247203
sift-128-euclidean,50,96.01,473.656,0.347258
sift-128-euclidean,60,96.93,478.675,0.36835
sift-128-euclidean,70,97.63,535.386,0.390999
sift-128-euclidean,80,98.13,608.464,0.49055
sift-128-euclidean,90,98.43,643.727,0.513143
sift-128-euclidean,100,98.68,705.948,0.590983
sift-128-euclidean,110,98.87,740.352,0.610888
sift-128-euclidean,120,99.02,815.212,0.682966
sift-128-euclidean,130,99.11,864.415,0.711894
sift-128-euclidean,140,99.21,913.105,0.763225
sift-128-euclidean,150,99.29,963.246,0.818767
sift-128-euclidean,160,99.32,1016.41,0.846205
sift-128-euclidean,170,99.38,1079.43,0.909374
sift-128-euclidean,180,99.4,1121.13,0.94668
sift-128-euclidean,190,99.44,1165.78,0.990714
sift-128-euclidean,200,99.47,1211.17,1.04717
sift-128-euclidean,240,99.57,1392.01,1.22214
